year,MI_PRINX,offense_id,rpt_date,occur_date,occur_time,poss_date,poss_time,beat,apt_office_prefix,apt_office_num,location,MinOfucr,MinOfibr_code,dispo_code,MaxOfnum_victims,Shift,Avg Day,loc_type,UC2 Literal,neighborhood,npu,x,y
2016,4387408,161491952,05/28/2016,05/28/2016,17:00:00,05/28/2016,17:06:00,609,,,1275 CAROLINE ST NE @TARGET - CAROLINE,0660,2317,,1,Eve,Sat,18,LARCENY-NON VEHICLE,Edgewood,O,-84.346100000000007,33.756839999999997
2016,4387409,161492047,05/28/2016,05/27/2016,23:00:00,05/28/2016,04:00:00,110,,,1876 PERRY BLVD NW,0640,2305,,1,Morn,Sat,13,LARCENY-FROM VEHICLE,West Highlands,G,-84.448650000000001,33.7941
2016,4387410,161492060,05/28/2016,05/28/2016,17:49:00,05/28/2016,17:49:00,308,,356,940 NEW TOWN CIR SE,0315,1207,,1,Eve,Sat,26,ROBBERY-RESIDENCE,Thomasville Heights,Z,-84.359300000000005,33.708379999999998
2016,4387411,161492206,05/28/2016,05/28/2016,18:30:00,06/02/2016,18:50:00,104,,,1077 FOUNTAIN DR SW,0710,2404,,1,Unk,Unk,13,AUTO THEFT,Ashview Heights,T,-84.422960000000003,33.752220000000001
2016,4387412,161492230,05/28/2016,05/28/2016,19:30:00,05/28/2016,19:41:00,404,,,689 CASCADE AVE SW,0630,2303,20,1,Eve,Sat,24,LARCENY-NON VEHICLE,Westview,T,-84.436800000000005,33.736359999999998
2016,4387413,161492237,05/28/2016,05/28/2016,18:50:00,05/28/2016,19:00:00,504,,,375 LUCKIE ST NW,0620,2302,20,1,Eve,Sat,26,LARCENY-NON VEHICLE,Downtown,M,-84.396019999999993,33.764850000000003
2016,4387414,161492269,05/28/2016,05/28/2016,19:00:00,05/28/2016,19:18:00,414,,,3390 FAIRBURN RD SW,0720,2424,,1,Eve,Sat,26,AUTO THEFT,Ben Hill,P,-84.524039999999999,33.663200000000003
2016,4387415,161492284,05/28/2016,05/18/2016,03:00:00,05/26/2016,12:00:00,302,,,1156 HUBBARD ST SW,0511,2202,,2,Unk,Unk,20,BURGLARY-RESIDENCE,Pittsburgh,V,-84.40222,33.723350000000003
2016,4387416,161492290,05/28/2016,05/28/2016,13:50:00,05/28/2016,13:56:00,206,,,2641 ACORN AVE NE,0640,2305,,1,Day,Sat,20,LARCENY-FROM VEHICLE,Garden Hills,B,-84.378219999999999,33.827060000000003
2016,4387417,161492380,05/28/2016,05/27/2016,23:30:00,05/28/2016,17:00:00,602,,,828 RALPH MCGILL BLVD NE,0640,2305,,1,Unk,Sat,,LARCENY-FROM VEHICLE,Poncey-Highland,N,-84.360429999999994,33.768259999999998
2016,4387418,161492421,05/28/2016,05/28/2016,20:00:00,05/28/2016,20:20:00,609,,,1275 CAROLINE ST NE @TARGET - CAROLINE,0630,2303,10,2,Eve,Sat,8,LARCENY-NON VEHICLE,Edgewood,O,-84.346190000000007,33.756740000000001
